Fecha;anno;mes;dia;O3;MP10;CO;SO2;MP25;NO2;Tmedia;Tmax;Precipitaciones
970402;1997;4;2;18,875;111,565;#N/A;#N/A;#N/A;#N/A;17,6;27,5;0
970403;1997;4;3;14,2083;141,333;#N/A;#N/A;#N/A;#N/A;16;27,2;0
970404;1997;4;4;30,4545;156,95;#N/A;#N/A;#N/A;#N/A;17,6;31,1;0
970405;1997;4;5;0;0;#N/A;#N/A;#N/A;#N/A;16,9;29,6;0
970406;1997;4;6;0;0;#N/A;#N/A;#N/A;#N/A;15,2;25,6;0
970407;1997;4;7;0;0;#N/A;#N/A;#N/A;#N/A;16;27;0
970408;1997;4;8;20;131,292;1,1875;#N/A;#N/A;#N/A;14,8;23,3;0
970409;1997;4;9;33,1666;176;2,225;#N/A;#N/A;#N/A;17,1;28,7;0
970410;1997;4;10;31,1667;198,333;3,37083;#N/A;#N/A;#N/A;18;31,8;0
970411;1997;4;11;27,5833;162,042;1,98333;#N/A;#N/A;#N/A;16,4;29;0
970412;1997;4;12;25,375;140,583;1,82083;#N/A;#N/A;#N/A;15,5;26,3;0
970413;1997;4;13;28,5;134,5;2,17916;#N/A;#N/A;#N/A;16,1;27;0
970414;1997;4;14;22,5;108,292;1,84583;#N/A;#N/A;#N/A;17,4;28,5;0
970415;1997;4;15;22,0417;113,167;1,1125;#N/A;#N/A;#N/A;17,5;27,9;0
970416;1997;4;16;19,7083;119,75;1,075;#N/A;#N/A;#N/A;16;25,4;0
970417;1997;4;17;10,1667;126,917;1,75;#N/A;#N/A;#N/A;13,7;18,2;0
970418;1997;4;18;11,375;112,708;1,70416;#N/A;#N/A;#N/A;14,6;19,7;0
970419;1997;4;19;18,75;101,25;1,22916;#N/A;#N/A;#N/A;13,9;22,8;0
970420;1997;4;20;20,6667;110,667;1,52917;#N/A;#N/A;#N/A;15,4;23,7;0
970421;1997;4;21;17,125;84,125;0,599998;#N/A;#N/A;#N/A;15,8;23,8;0
970422;1997;4;22;8,04166;176,042;1,64166;#N/A;#N/A;#N/A;16,2;20,5;0
970423;1997;4;23;0;118,583;2,7375;#N/A;#N/A;#N/A;16,8;20,8;0,5
970424;1997;4;24;0;53,625;0,375;#N/A;#N/A;#N/A;17,5;24,1;0
970425;1997;4;25;14,8333;138,917;2,12083;#N/A;#N/A;#N/A;16,1;27,3;0
970426;1997;4;26;6,20833;121,13;2,66249;#N/A;#N/A;#N/A;14,7;22,5;0
970427;1997;4;27;13,4167;126,739;3,18333;#N/A;#N/A;#N/A;15,5;27,2;0
970428;1997;4;28;13,0833;185,833;4,03749;#N/A;#N/A;#N/A;16;28,1;0
970429;1997;4;29;5,79166;161,792;2,51666;#N/A;#N/A;#N/A;15,6;22;0
970430;1997;4;30;9,33333;179,125;4,03333;#N/A;#N/A;#N/A;15,6;22,8;0
970501;1997;5;1;20,7083;161,409;2,375;#N/A;#N/A;#N/A;15,2;25,4;0
970502;1997;5;2;13,8636;182,545;2,32083;#N/A;#N/A;#N/A;15,3;26,2;0
970503;1997;5;3;28,9583;196,25;3,35833;#N/A;#N/A;#N/A;15,8;30,4;0
970504;1997;5;4;21,5833;135,458;2,38333;#N/A;#N/A;#N/A;13;23,7;0
970505;1997;5;5;20,7083;200,25;3,09166;#N/A;#N/A;#N/A;12,9;22,1;0
970506;1997;5;6;27,4583;295,75;5,26665;#N/A;#N/A;#N/A;14,4;29;0
970507;1997;5;7;17,2083;188,792;2,38333;#N/A;#N/A;#N/A;12,4;20,4;0
970508;1997;5;8;15,9583;168,75;2,4125;#N/A;#N/A;#N/A;12,4;21;0
970509;1997;5;9;16,6667;218,583;2,79583;#N/A;#N/A;#N/A;13,6;23;0
970510;1997;5;10;17,375;233,875;5,18333;#N/A;#N/A;#N/A;15,3;21,8;0
970511;1997;5;11;28,875;196,25;3,14166;#N/A;#N/A;#N/A;14,1;23,5;0
970512;1997;5;12;6,20833;120,708;1,69166;#N/A;#N/A;#N/A;11,3;14,4;0
970513;1997;5;13;17,2083;194,958;3,82916;#N/A;#N/A;#N/A;12,5;22,1;0
970514;1997;5;14;10,2105;0;2,17368;#N/A;#N/A;#N/A;15;23,2;0
970515;1997;5;15;18,5833;154,667;3,53333;#N/A;#N/A;#N/A;14,4;22,1;0,1
970516;1997;5;16;6;67,625;0,858332;#N/A;#N/A;#N/A;13,8;17,6;0,1
970517;1997;5;17;4;86,9583;1,9375;#N/A;#N/A;#N/A;13,4;16,3;6,1
970518;1997;5;18;5,66666;16,8333;0,774999;#N/A;#N/A;#N/A;10,4;11,1;29,5
970519;1997;5;19;8,125;73,3635;2,0625;#N/A;#N/A;#N/A;9,1;17,3;0
