Fecha;anno;mes;dia;Fecha2;Tpromedio;Tmax;Hpromedio;Hmax;Vpromedio;Vmax;RSGSpromedio;RSGSmax;RSDSpromedio;RSDSmax;RSGHpromedio;RSGHmax;RDNpromedio;RDNmax
130809;2013;8;9;2013-08-09;6,728125;49,6;51,303125;99,5;2,56953125;6,69;4380,484375;22698;4354,703125;22589;4379,28125;22428;25,6875;512
130810;2013;8;10;2013-08-10;9,679861111;17,2;44,08819444;62,4;2,696041667;6,86;241,3611111;893;27,00694444;155;171,875;724;214,1944444;849
130811;2013;8;11;2013-08-11;8,779861111;11,6;62,81041667;94,2;2,625902778;6,79;19,04861111;91;14,5;71;19,54166667;93;4,409722222;19
130812;2013;8;12;2013-08-12;7,497916667;13,6;88,53402778;100;1,815208333;4,22;93,90277778;671;24,65972222;202;64,71527778;596;69,08333333;557
130813;2013;8;13;2013-08-13;7,915277778;15,2;63,18541667;100;2,884375;6,7;280,7013889;901;24,04861111;89;186,9236111;724;256,4513889;851
130814;2013;8;14;2013-08-14;13,75277778;25;34,79722222;53,5;3,05625;6,68;292,8263889;893;18,95138889;80;192,7986111;736;273,6736111;850
130815;2013;8;15;2013-08-15;15,15277778;21,9;33,78611111;52,3;3,0025;6,58;289,7986111;872;23,50694444;100;189,4791667;710;266,125;823
130816;2013;8;16;2013-08-16;14,63333333;24,4;39,20555556;51,9;2,514375;5,43;279,2291667;883;24,56944444;101;188,9861111;728;254,4375;829
130817;2013;8;17;2013-08-17;17,69027778;25,6;28,17569444;40,3;3,193541667;6,69;300,8125;912;21,84027778;85;199,4375;746;278,7083333;864
130818;2013;8;18;2013-08-18;14,08888889;19,9;52,21319444;100;2,484375;6,91;289,5486111;862;30,47222222;104;193,5069444;724;258,8055556;780
130819;2013;8;19;2013-08-19;9,938888889;16,4;83,04791667;100;1,441666667;7,09;176,125;746;72,81944444;280;147,8541667;640;103,0902778;494
130820;2013;8;20;2013-08-20;10,97708333;19,5;66,98194444;89,8;2,800486111;8,8;258,1875;844;43,70833333;137;182,3958333;701;214,4027778;718
130821;2013;8;21;2013-08-21;11,06041667;17,4;64,66458333;97,7;2,305208333;7,35;226,8263889;804;52,72916667;187;171,4375;722;173,9375;649
130822;2013;8;22;2013-08-22;10,25694444;16,8;56,12222222;81,9;2,159305556;6,26;169,0138889;865;72,8125;326;144,9930556;865;96,01388889;639
130823;2013;8;23;2013-08-23;10,28611111;14,8;57,30138889;79,7;2,323402778;6,07;94,13194444;591;62,35416667;260;93,23611111;581;31,6875;356
130824;2013;8;24;2013-08-24;8,572916667;15,6;79,35138889;100;1,804027778;4,33;201,6805556;737;61,15972222;290;167,7569444;699;140,3958333;563
130825;2013;8;25;2013-08-25;7,681944444;12,8;84,97916667;96,9;2,111597222;6,51;108,2777778;667;66,99305556;299;98,39583333;610;41,1875;412
130826;2013;8;26;2013-08-26;10,13125;17,7;62,01319444;99,7;2,395347222;4,68;299,3958333;898;37;140;205,3680556;768;262,2638889;817
130827;2013;8;27;2013-08-27;13,51458333;21,2;43,87708333;60,7;2,953958333;5,84;310,7986111;906;36,35416667;361;605;22428;274,25;838
130828;2013;8;28;2013-08-28;18,86944444;28,2;32,78263889;47,8;2,527152778;5,88;327,0138889;834;23,02777778;94;217,3541667;797;303,9097222;785
130829;2013;8;29;2013-08-29;12,21180556;17,9;76,53888889;100;1,945694444;4,74;280,2847222;787;59,81944444;326;196,6111111;745;220,4097222;673
130830;2013;8;30;2013-08-30;8,25625;11,5;98,66597222;100;1,200069444;4,32;34,08333333;195;26,28472222;151;34,27777778;195;7,541666667;44
130831;2013;8;31;2013-08-31;11,37986111;18,5;81,21736111;100;1,698263889;4,54;180,6736111;804;78,48611111;295;157,9097222;729;102,0138889;610
130901;2013;9;1;2013-09-01;12,66944444;18,5;67,25763889;89,1;2,615972222;7,24;101,8402778;846;51,56944444;278;96,20833333;764;50,23611111;621
130902;2013;9;2;2013-09-02;10,75347222;13,8;88,36666667;100;2,825555556;9,43;40,68055556;199;31,20138889;154;40,81944444;200;9,375;45
130903;2013;9;3;2013-09-03;16,27291667;23,4;59,48055556;100;2,744027778;6,42;244,5069444;834;48,20138889;269;194,9305556;817;196,1388889;778
130904;2013;9;4;2013-09-04;15,17569444;17,4;52,65763889;80,8;3,22125;8,47;55,06944444;246;42,25;189;54,63888889;244;12,6875;56
130905;2013;9;5;2013-09-05;13,59930556;19;68,36666667;100;1,966666667;4,39;183,6736111;777;69,63194444;330;150,4444444;764;113,9583333;649
130906;2013;9;6;2013-09-06;13,89722222;19;74,92569444;94,6;3,906388889;7,7;52,81944444;713;35,74305556;292;52,375;696;16,90972222;435
130907;2013;9;7;2013-09-07;14,79236111;20,1;79,52083333;100;2,536944444;6,53;117,6875;861;67,30555556;360;116,0416667;835;50,30555556;747
130908;2013;9;8;2013-09-08;19,70416667;28,9;52,20625;80,2;2,795972222;6,43;276,2847222;903;57,22916667;301;204,4930556;828;218,9305556;773
130909;2013;9;9;2013-09-09;19,89930556;24,5;54,5875;100;2,257986111;5,48;164,1111111;684;84,27083333;311;150,1111111;659;79,76388889;405
