"Fecha","anno","mes","dia","O3","MP10","CO","Tmedia","Tmax","Precipitaciones","cat_mp10","cat_mp25"
2015-04-01,2015,4,1,21.9148,82.75,0.387774,19.1,30.6,0,"BUENO","BUENO"
2015-04-02,2015,4,2,19.7134,84.1666,0.341386,18.1,28.9,0,"BUENO","BUENO"
2015-04-03,2015,4,3,16.8208,41.5435,0.128559,16.4,27.1,0,"BUENO","BUENO"
2015-04-04,2015,4,4,15.5532,35.3958,0.110061,17.7,27.5,0,"BUENO","BUENO"
2015-04-05,2015,4,5,21.8111,43.7083,0.261979,19,31.2,0,"BUENO","BUENO"
2015-04-06,2015,4,6,16.647,62.7083,0.272568,17,28.2,0,"BUENO","BUENO"
2015-04-07,2015,4,7,11.3488,44.875,0.139095,17.5,23,0,"BUENO","BUENO"
2015-04-08,2015,4,8,14.0883,72.1041,0.356071,17.1,26.6,0,"BUENO","BUENO"
2015-04-09,2015,4,9,14.4098,79.0833,0.333301,18,28.9,0,"BUENO","BUENO"
2015-04-10,2015,4,10,11.7012,109.978,0.797582,18.9,33,0,"BUENO","BUENO"
2015-04-11,2015,4,11,20.4023,112.062,0.70067,16.8,29.4,0,"BUENO","BUENO"
2015-04-12,2015,4,12,23.9991,77.8333,0.357092,16.8,27.3,0,"BUENO","BUENO"
2015-04-13,2015,4,13,20.3996,73.3541,0.222723,16.7,26.3,0,"BUENO","BUENO"
2015-04-14,2015,4,14,16.1408,76.2916,0.284101,16.3,25.6,0,"BUENO","BUENO"
2015-04-15,2015,4,15,9.43121,75.9375,0.151414,14.6,20.8,0,"BUENO","BUENO"
2015-04-16,2015,4,16,14.756,59.3333,0.134938,15,21.6,0,"BUENO","BUENO"
2015-04-17,2015,4,17,8.25163,114.833,0.672708,13.8,26.6,0,"BUENO","BUENO"
2015-04-18,2015,4,18,19.808,97.9583,0.617463,15,27.9,0,"BUENO","BUENO"
2015-04-19,2015,4,19,9.04515,61.6458,0.13741,13.2,18.7,0,"BUENO","BUENO"
2015-04-20,2015,4,20,3.54708,91.2916,0.552887,13.6,20.7,0,"BUENO","BUENO"
2015-04-21,2015,4,21,11.1728,100.812,0.706929,13.7,23.6,0,"BUENO","BUENO"
2015-04-22,2015,4,22,13.3339,127.792,0.89104,15.6,28.4,0,"REGULAR","REGULAR"
2015-04-23,2015,4,23,13.935,121.896,0.826767,16.9,30.3,0,"REGULAR","REGULAR"
2015-04-24,2015,4,24,14.4021,138.542,0.79467,16.2,29.8,0,"REGULAR","REGULAR"
2015-04-25,2015,4,25,19.3115,146.896,0.804064,13.4,23.6,0,"REGULAR","REGULAR"
2015-04-26,2015,4,26,19.5594,106.188,0.379122,14.6,23.1,0,"REGULAR","REGULAR"
2015-04-27,2015,4,27,19.2612,116.562,0.539777,15.6,26.6,0,"REGULAR","REGULAR"
2015-04-28,2015,4,28,15.244,130.646,0.624138,16,28.4,0,"REGULAR","REGULAR"
2015-04-29,2015,4,29,13.8211,137.354,0.725179,16,28.1,0,"REGULAR","REGULAR"
2015-04-30,2015,4,30,14.6218,131.625,0.763844,16.5,28.9,0,"REGULAR","REGULAR"
2015-05-01,2015,5,1,9.994,104.417,0.585409,13.8,19.4,1.7,"REGULAR","REGULAR"
2015-05-02,2015,5,2,12.9711,38.4565,0.151394,13.2,19.4,0,"REGULAR","REGULAR"
2015-05-03,2015,5,3,11.2637,40.0625,0.210679,12.2,21.8,0,"REGULAR","REGULAR"
2015-05-04,2015,5,4,6.79346,70.7826,0.620832,12.7,24,0,"REGULAR","REGULAR"
2015-05-05,2015,5,5,8.4836,104.979,0.582082,12.6,24.7,0,"REGULAR","REGULAR"
2015-05-06,2015,5,6,9.88568,131.396,1.13291,13.3,27.4,0,"REGULAR","REGULAR"
2015-05-07,2015,5,7,9.99873,117.542,0.857254,15.8,23,0,"REGULAR","REGULAR"
2015-05-08,2015,5,8,2.68,106.375,0.790516,12.1,16.9,0,"REGULAR","REGULAR"
2015-05-09,2015,5,9,8.44943,106.729,1.09803,11.8,21.9,0,"REGULAR","REGULAR"
2015-05-10,2015,5,10,14.1168,80.1458,0.853877,12.7,26.4,0,"REGULAR","REGULAR"
2015-05-11,2015,5,11,5.23957,106.458,0.748011,13.6,24.9,0,"ALERTA","ALERTA"
2015-05-12,2015,5,12,3.63319,123.583,0.923918,11.7,20.7,0,"REGULAR","REGULAR"
2015-05-13,2015,5,13,5.50304,117.5,1.01017,11.8,23.8,0,"REGULAR","REGULAR"
